deploymentID,locationID,coordinateUncertainty,deploymentStart,deploymentEnd,_id
PMR1-KB01PM,KB01PM,10,2023-07-18T16:02:38+0200,2023-08-07T13:00:00+0200,1979
PMR1-KB02PM,KB02PM,10,2023-07-18T16:40:16+0200,2023-08-07T13:00:00+0200,1980
PMR1-KB03PM,KB03PM,10,2023-07-18T09:56:52+0200,2023-08-06T13:45:46+0200,1981
PMR1-KB04PM,KB04PM,10,2023-07-19T11:14:52+0200,2023-08-08T13:00:00+0200,1982
PMR1-KB05PM,KB05PM,10,2023-07-18T17:25:28+0200,2023-08-08T13:00:00+0200,1983
PMR1-KB06PM,KB06PM,10,2023-07-18T12:50:32+0200,2023-08-08T13:00:00+0200,1984
PMR1-KB07PM,KB07PM,10,2023-07-18T14:04:10+0200,2023-08-07T13:00:00+0200,1985
PMR1-KB08PM,KB08PM,10,2023-07-20T11:08:30+0200,2023-08-11T11:36:38+0200,1986
PMR1-KB09PM,KB09PM,10,2023-07-19T12:09:58+0200,2023-08-09T04:36:32+0200,1987
PMR1-KB10PM,KB10PM,10,2023-07-19T12:41:46+0200,2023-08-08T13:00:00+0200,1988
PMR1-KB11PM,KB11PM,10,2023-07-19T13:16:24+0200,2023-08-07T13:00:00+0200,1989
PMR1-KB12PM,KB12PM,10,2023-07-18T15:10:32+0200,2023-08-07T13:00:00+0200,1990
PMR1-KB13PM,KB13PM,10,2023-07-20T11:42:58+0200,2023-08-11T13:13:04+0200,1991
PMR1-KB14PM,KB14PM,10,2023-07-20T12:24:26+0200,2023-08-11T15:59:38+0200,1992
PMR1-KB15PM,KB15PM,10,2023-07-19T14:12:44+0200,2023-08-09T13:00:00+0200,1993
PMR1-KB16PM,KB16PM,10,2023-07-19T15:05:36+0200,2023-08-09T15:02:06+0200,1994
PMR1-KB17PM,KB17PM,10,2023-07-18T14:45:18+0200,2023-08-07T13:00:00+0200,1995
PMR1-KB18PM,KB18PM,10,2023-07-20T13:05:36+0200,2023-08-11T14:51:16+0200,1996
PMR1-KB19PM,KB19PM,10,2023-07-20T14:06:36+0200,2023-08-11T16:55:16+0200,1997
PMR1-KB20PM,KB20PM,10,2023-07-19T15:47:58+0200,2023-08-09T16:22:32+0200,1998
PMR1-KB21PM,KB21PM,10,2023-07-20T15:55:06+0200,2023-08-09T13:00:00+0200,1999
PMR1-KB22PM,KB22PM,10,2023-07-20T15:19:22+0200,2023-08-10T13:00:00+0200,2000
PMR1-KB23PM,KB23PM,10,2023-07-19T16:19:16+0200,2023-08-10T13:00:00+0200,2001
PMR1-KB24PM,KB24PM,10,2023-07-20T16:27:40+0200,2023-08-10T11:54:42+0200,2002
PMR1-KB25PM,KB25PM,10,2023-07-20T14:42:36+0200,2023-08-10T13:00:00+0200,2003
PMR1-KB26PM,KB26PM,10,2023-07-19T16:49:56+0200,2023-08-10T13:00:00+0200,2004
PMR1-KB27PM,KB27PM,10,2023-07-19T17:30:48+0200,2023-08-09T13:00:00+0200,1978
PMR2-KB01PM,KB01PM,10,2023-08-08T11:13:12+0200,2023-09-05T12:15:00+0200,2031
PMR2-KB02PM,KB02PM,10,2023-08-08T12:17:12+0200,2023-09-05T12:57:36+0200,2029
PMR2-KB03PM,KB03PM,10,2023-08-07T12:22:58+0200,2023-09-05T14:28:28+0200,2030
PMR2-KB04PM,KB04PM,10,2023-08-08T15:33:04+0200,2023-09-04T11:09:08+0200,2016
PMR2-KB05PM,KB05PM,10,2023-08-08T16:29:58+0200,2023-09-04T12:19:02+0200,2024
PMR2-KB06PM,KB06PM,10,2023-08-08T17:45:08+0200,2023-09-04T14:17:38+0200,2022
PMR2-KB07PM,KB07PM,10,2023-08-07T14:35:26+0200,2023-09-05T15:52:56+0200,2019
PMR2-KB08PM,KB08PM,10,2023-08-11T11:14:02+0200,2023-09-04T12:27:22+0200,2005
PMR2-KB09PM,KB09PM,10,2023-08-09T10:35:08+0200,2023-09-04T13:18:02+0200,2023
PMR2-KB10PM,KB10PM,10,2023-08-09T11:44:22+0200,2023-09-04T15:23:14+0200,2021
PMR2-KB11PM,KB11PM,10,2023-08-07T17:14:26+0200,2023-09-04T16:17:06+0200,2026
PMR2-KB12PM,KB12PM,10,2023-08-07T15:51:40+0200,2023-09-05T16:51:48+0200,2027
PMR2-KB13PM,KB13PM,10,2023-08-11T12:40:10+0200,2023-09-04T13:16:48+0200,2014
PMR2-KB14PM,KB14PM,10,2023-08-11T15:35:42+0200,2023-09-04T13:49:24+0200,2012
PMR2-KB15PM,KB15PM,10,2023-08-09T12:55:48+0200,2023-09-04T17:39:04+0200,2025
PMR2-KB16PM,KB16PM,10,2023-08-09T14:41:10+0200,2023-09-05T10:32:30+0200,2028
PMR2-KB17PM,KB17PM,10,2023-08-07T18:17:50+0200,2023-09-05T17:32:38+0200,2020
PMR2-KB18PM,KB18PM,10,2023-08-11T14:27:34+0200,2023-09-04T14:49:32+0200,2015
PMR2-KB19PM,KB19PM,10,2023-08-11T16:33:32+0200,2023-09-04T15:37:46+0200,2007
PMR2-KB20PM,KB20PM,10,2023-08-09T16:04:40+0200,2023-09-04T16:08:46+0200,2009
PMR2-KB21PM,KB21PM,10,2023-08-10T10:28:02+0200,2023-09-05T10:24:08+0200,2011
PMR2-KB22PM,KB22PM,10,2023-08-10T14:30:04+0200,2023-09-05T12:53:46+0200,2010
PMR2-KB23PM,KB23PM,10,2023-08-10T15:39:20+0200,2023-09-05T13:29:06+0200,2006
PMR2-KB24PM,KB24PM,10,2023-08-10T11:34:10+0200,2023-09-05T11:00:50+0200,2017
PMR2-KB25PM,KB25PM,10,2023-08-10T13:00:00+0200,2023-09-05T11:55:28+0200,2008
PMR2-KB26PM,KB26PM,10,2023-08-10T16:58:34+0200,2023-09-05T14:11:46+0200,2013
PMR2-KB27PM,KB27PM,10,2023-08-09T17:20:12+0200,2023-09-05T15:03:56+0200,2018
PMR3-KB01PM,KB01PM,10,2023-09-05T12:27:16+0200,2023-10-03T10:48:20+0200,2032
PMR3-KB02PM,KB02PM,10,2023-09-05T13:26:12+0200,2023-10-03T11:36:34+0200,2033
PMR3-KB03PM,KB03PM,10,2023-09-05T14:57:08+0200,2023-10-02T11:30:26+0200,2034
PMR3-KB04PM,KB04PM,10,2023-09-04T11:21:52+0200,2023-10-03T12:40:54+0200,2035
PMR3-KB05PM,KB05PM,10,2023-09-04T12:28:44+0200,2023-10-03T13:26:48+0200,2036
