observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,classificationMethod,classificationTimestamp
1,PMR1-KB01PM,2482445,585f41ad7eafb890f682b7e990e8d997,2023-07-18T15:02:38+0200,2023-07-18T15:02:38+0200,media,blank,setup,,,human,2023-08-18T07:30:17+0000
2,PMR1-KB01PM,2482446,585f41ad7eafb890f682b7e990e8d997,2023-07-18T15:03:02+0200,2023-07-18T15:03:02+0200,media,human,setup,Homo sapiens,1,human,2023-08-18T07:30:38+0000
3,PMR1-KB01PM,2482447,585f41ad7eafb890f682b7e990e8d997,2023-07-18T15:03:12+0200,2023-07-18T15:03:12+0200,media,human,setup,Homo sapiens,1,human,2023-08-18T07:30:48+0000
4,PMR1-KB01PM,2482448,585f41ad7eafb890f682b7e990e8d997,2023-07-18T15:03:20+0200,2023-07-18T15:03:20+0200,media,human,setup,Homo sapiens,1,human,2023-08-18T07:30:56+0000
5,PMR1-KB01PM,2482449,585f41ad7eafb890f682b7e990e8d997,2023-07-18T15:03:36+0200,2023-07-18T15:03:36+0200,media,human,setup,Homo sapiens,1,human,2023-08-18T07:31:05+0000
6,PMR1-KB01PM,2482450,585f41ad7eafb890f682b7e990e8d997,2023-07-18T15:04:16+0200,2023-07-18T15:04:16+0200,media,human,setup,Homo sapiens,1,human,2023-08-18T07:31:17+0000
7,PMR1-KB01PM,2482425,57d57656c4628b5115f3e6a51c13b5f7,2023-07-19T12:00:00+0200,2023-07-19T12:00:00+0200,media,blank,,,,machine,2023-08-16T13:22:03+0000
8,PMR1-KB01PM,2482426,31c6ed9846ae9c22abd3d49623398b32,2023-07-20T12:00:00+0200,2023-07-20T12:00:00+0200,media,unclassified,,,,,
9,PMR1-KB01PM,2482451,f884fc186edb7cfaa7cba70d3cb58708,2023-07-20T21:28:00+0200,2023-07-20T21:28:00+0200,media,animal,,Tetrao urogallus,1,human,2023-08-18T09:27:37+0000
10,PMR1-KB01PM,2482452,f884fc186edb7cfaa7cba70d3cb58708,2023-07-20T21:28:18+0200,2023-07-20T21:28:18+0200,media,animal,,Tetrao urogallus,1,human,2023-08-18T09:27:57+0000
11,PMR1-KB01PM,2482453,3c991a0764be9d9316efea17c75b0103,2023-07-20T21:50:20+0200,2023-07-20T21:50:20+0200,media,blank,,,,human,2023-08-18T08:51:38+0000
12,PMR1-KB01PM,2482427,970c6040ad547bec384042fc29df25ec,2023-07-21T12:00:00+0200,2023-07-21T12:00:00+0200,media,unclassified,,,,,
13,PMR1-KB01PM,2482454,e7421dd8ec7900b94c81e426daa486c3,2023-07-22T04:44:40+0200,2023-07-22T04:44:40+0200,media,animal,,Vulpes vulpes,1,human,2023-08-18T09:51:21+0000
