deploymentID,locationID,deploymentStart,deploymentEnd
R2-KS02,ks02,2024-10-05T14:56:14+0200,2024-11-13T12:00:00+0100
R2-KS03,ks03,2024-10-05T14:36:18+0200,2024-11-13T15:22:40+0100
R2-KS04,ks04,2024-10-05T17:46:26+0200,2024-11-13T14:09:00+0100
R2-KS07,ks07,2024-10-05T17:31:40+0200,2024-11-13T13:42:08+0100
R2-KS08,ks08,2024-10-05T18:00:56+0200,2024-11-13T12:00:00+0100
R2-KS10,ks10,2024-10-06T13:00:00+0200,2024-11-13T12:00:00+0100
R2-KS11,ks11,2024-10-05T17:17:10+0200,2024-11-13T13:16:32+0100
R2-KS12,ks12,2024-10-05T16:07:40+0200,2024-11-13T12:00:00+0100
R2-KS14,ks14,2024-10-05T18:19:36+0200,2024-11-13T12:37:00+0100
R2-KS15,ks15,2024-10-05T16:39:32+0200,2024-11-13T11:32:58+0100
R2-KS18,ks18,2024-10-05T16:23:10+0200,2024-11-12T12:00:00+0100
R2-KS19,ks19,2024-10-05T13:00:00+0200,2024-11-14T12:00:00+0100
R2-KS20,ks20,2024-10-05T12:22:50+0200,2024-11-14T11:18:24+0100
R2-KS21,ks21,2024-10-05T18:45:26+0200,2024-11-13T12:00:00+0100
R2-KS22,ks22,2024-10-05T13:00:00+0200,2024-11-14T12:00:00+0100
R2-KS23,ks23,2024-10-05T12:45:04+0200,2024-11-13T12:00:00+0100
R2-KS24,ks24,2024-10-05T18:54:22+0200,2024-11-13T16:54:50+0100
R2-KS27,ks27,2024-10-05T13:00:00+0200,2024-11-14T12:00:00+0100
R2-KS28,ks28,2024-10-03T14:16:04+0200,2024-11-13T16:32:34+0100
R2-KS29,ks29,2024-10-03T13:00:00+0200,2024-11-14T12:00:00+0100
R2-KS30,ks30,2024-10-03T11:19:42+0200,2024-11-14T12:00:00+0100
R2-KS31,ks31,2024-10-03T11:58:42+0200,2024-11-14T13:31:52+0100
R2-KS32,ks32,2024-10-03T12:37:33+0200,2024-11-14T12:00:00+0100
