deploymentID,locationID,coordinateUncertainty,deploymentStart,deploymentEnd,timestampIssues,baitUse,_id
r3-ks02,ks02,10,2024-11-14T12:00:00+0100,2025-03-13T16:35:36+0100,FALSE,FALSE,2595
r3-ks03,ks03,10,2024-11-14T12:00:00+0100,2025-03-13T16:16:26+0100,FALSE,FALSE,2596
r3-ks04,ks04,10,2024-11-14T12:00:00+0100,2025-03-13T13:07:32+0100,FALSE,FALSE,2597
r3-ks07,ks07,10,2024-11-13T13:51:04+0100,2025-03-13T14:03:34+0100,FALSE,FALSE,2598
r3-ks08,ks08,10,2024-11-14T12:00:00+0100,2025-03-13T12:44:10+0100,FALSE,FALSE,2599
r3-ks10,ks10,10,2024-11-13T13:06:36+0100,2025-03-13T15:11:28+0100,FALSE,FALSE,2600
r3-ks11,ks11,10,2024-11-14T12:00:00+0100,2025-03-13T14:46:54+0100,FALSE,FALSE,2601
r3-ks12,ks12,10,2024-11-14T12:00:00+0100,2025-03-12T17:34:36+0100,FALSE,FALSE,2602
r3-ks14,ks14,10,2024-11-13T12:43:34+0100,2025-03-13T15:45:02+0100,FALSE,FALSE,2603
r3-ks15,ks15,10,2024-11-13T12:00:00+0100,2025-03-12T15:50:30+0100,FALSE,FALSE,2604
r3-ks18,ks18,10,2024-11-13T11:54:40+0100,2025-03-12T12:00:00+0100,FALSE,FALSE,2605
r3-ks19,ks19,10,2024-11-15T12:00:00+0100,2025-03-12T14:20:14+0100,FALSE,FALSE,2606
r3-ks20,ks20,10,2024-11-14T12:00:00+0100,2025-03-12T12:20:00+0100,FALSE,FALSE,2607
r3-ks21,ks21,10,2024-11-14T12:00:00+0100,2025-03-11T12:25:20+0100,FALSE,FALSE,2608
r3-ks22,ks22,10,2024-11-15T12:00:00+0100,2025-03-12T13:59:32+0100,FALSE,FALSE,2609
r3-ks23,ks23,10,2024-11-14T12:00:00+0100,2025-03-12T13:01:48+0100,FALSE,FALSE,2610
r3-ks24,ks24,10,2024-11-14T12:00:00+0100,2025-03-11T13:24:54+0100,FALSE,FALSE,2611
r3-ks27,ks27,10,2024-11-14T13:04:32+0100,2025-03-11T19:02:36+0100,FALSE,FALSE,2612
r3-ks28,ks28,10,2024-11-13T16:42:20+0100,2025-03-11T14:18:22+0100,FALSE,FALSE,2613
r3-ks29,ks29,10,2024-11-15T12:00:00+0100,2025-03-11T15:08:18+0100,FALSE,FALSE,2614
r3-ks30,ks30,10,2024-11-15T12:00:00+0100,2025-03-11T17:30:40+0100,FALSE,FALSE,2615
r3-ks31,ks31,10,2024-11-15T12:00:00+0100,2025-03-11T18:08:58+0100,FALSE,FALSE,2616
r3-ks32,ks32,10,2024-11-15T06:28:44+0100,2025-03-11T16:13:42+0100,FALSE,FALSE,2617
