observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,classificationMethod,classificationTimestamp
1039,r1-g01,3457563,062cef2c-0293-47d8-87f1-685acc8e3052,2024-07-30T10:23:24+0100,2024-07-30T10:23:34+0100,media,human,setup,Homo sapiens,1,human,2025-02-26T08:36:58+0000
1040,r1-g01,3457564,062cef2c-0293-47d8-87f1-685acc8e3052,2024-07-30T10:24:38+0100,2024-07-30T10:24:41+0100,media,human,,Homo sapiens,1,human,2025-02-26T08:37:22+0000
1041,r1-g01,3457565,062cef2c-0293-47d8-87f1-685acc8e3052,2024-07-30T10:25:14+0100,2024-07-30T10:25:18+0100,media,human,setup,Homo sapiens,1,human,2025-02-26T08:37:42+0000
1042,r1-g01,3457566,7768dda9-1df9-41e0-b2cb-807571747668,2024-07-30T12:00:00+0100,2024-07-30T12:00:00+0100,media,blank,,,,human,2025-02-26T08:38:15+0000
1043,r1-g01,3457567,778c590c-31f8-423a-a6de-f83ac5936a20,2024-07-31T12:00:00+0100,2024-07-31T12:00:00+0100,media,blank,,,,human,2025-02-26T08:42:45+0000
1044,r1-g01,3457568,b3b1db6f-b040-455f-814a-dd680cace498,2024-08-01T12:00:00+0100,2024-08-01T12:00:00+0100,media,blank,,,,human,2025-02-26T08:43:51+0000
1045,r1-g01,3457569,52de349d-1e74-4e55-b065-603436c1fe1f,2024-08-02T12:00:00+0100,2024-08-02T12:00:00+0100,media,blank,,,,human,2025-02-26T08:44:42+0000
1046,r1-g01,3457570,42024783-7607-44b7-bab8-7d1986f99d68,2024-08-03T12:00:00+0100,2024-08-03T12:00:00+0100,media,blank,,,,human,2025-02-26T08:45:20+0000
1047,r1-g01,3457571,2a6e0c85-7d70-4785-b7c7-65bd52a0a30f,2024-08-04T12:00:00+0100,2024-08-04T12:00:00+0100,media,blank,,,,human,2025-02-26T08:45:50+0000
1048,r1-g01,3457572,d972004c-872c-478b-982c-ed0c39166830,2024-08-05T12:00:00+0100,2024-08-05T12:00:00+0100,media,blank,,,,human,2025-02-26T08:46:26+0000
1049,r1-g01,3457573,6bff5892-c7a9-4b6f-93ec-caa77c2e785e,2024-08-06T12:00:00+0100,2024-08-06T12:00:00+0100,media,blank,,,,human,2025-02-26T08:47:07+0000
1050,r1-g01,3457574,e942321a-8a5f-494e-8b5b-e7d7da4390f1,2024-08-07T12:00:00+0100,2024-08-07T12:00:00+0100,media,blank,,,,human,2025-02-26T08:47:52+0000
1051,r1-g01,3457575,f59fb968-a85e-4b94-b847-7692e7ca1c3f,2024-08-08T12:00:00+0100,2024-08-08T12:00:00+0100,media,blank,,,,human,2025-02-26T08:49:47+0000
1052,r1-g01,3457576,5a59f9ce-d2ca-49e4-8ac0-e733409467a5,2024-08-09T12:00:00+0100,2024-08-09T12:00:00+0100,media,blank,,,,human,2025-02-26T08:50:39+0000
1053,r1-g01,3457577,3c42fc9d-8f72-4581-9842-525a1e38a4e4,2024-08-10T12:00:00+0100,2024-08-10T12:00:00+0100,media,blank,,,,human,2025-02-26T08:51:31+0000
1054,r1-g01,3457578,3bfdce3b-39bc-4392-a952-8d84bdc10829,2024-08-11T12:00:00+0100,2024-08-11T12:00:00+0100,media,blank,,,,human,2025-02-26T08:52:08+0000
1055,r1-g01,3457579,7f82411f-23da-4447-a701-beff6fcebba9,2024-08-12T12:00:00+0100,2024-08-12T12:00:00+0100,media,blank,,,,human,2025-02-26T08:54:06+0000
1056,r1-g01,3457580,1194d1b0-7fdf-4faf-b4f6-2fd8ee0dc3f2,2024-08-13T12:00:00+0100,2024-08-13T12:00:00+0100,media,blank,,,,human,2025-02-26T08:55:19+0000
1057,r1-g01,3457581,3ed9e08b-3dec-4dac-8ee1-7050a272837e,2024-08-14T12:00:00+0100,2024-08-14T12:00:00+0100,media,blank,,,,human,2025-02-26T08:55:53+0000
1058,r1-g01,3457582,af4ff9a2-ddc2-4aa7-98d6-6fd49a92ab55,2024-08-15T12:00:00+0100,2024-08-15T12:00:00+0100,media,blank,,,,human,2025-02-26T08:58:05+0000
1059,r1-g01,3457583,650c70ea-af5e-4221-a660-7f0f448e4c9d,2024-08-16T12:00:00+0100,2024-08-16T12:00:00+0100,media,blank,,,,human,2025-02-26T08:58:52+0000
1060,r1-g01,3457584,703737b8-b47a-4313-bbc3-95c2c8d06411,2024-08-17T12:00:00+0100,2024-08-17T12:00:00+0100,media,blank,,,,human,2025-02-26T08:59:27+0000
1061,r1-g01,3457585,114e45ac-f1c5-478f-a003-3ba68f8101a7,2024-08-18T12:00:00+0100,2024-08-18T12:00:00+0100,media,blank,,,,human,2025-02-26T09:00:32+0000
1062,r1-g01,3457586,64a10423-f78a-45b9-828b-d1fca10a51c4,2024-08-19T12:00:00+0100,2024-08-19T12:00:00+0100,media,blank,,,,human,2025-02-26T09:01:39+0000
1063,r1-g01,3457587,d5059565-5657-4705-8387-0a8e50135ecf,2024-08-20T12:00:00+0100,2024-08-20T12:00:00+0100,media,blank,,,,human,2025-02-26T09:02:09+0000
1064,r1-g01,3457588,0527aa4e-f6cd-484e-a8d8-92bc0938a00a,2024-08-21T12:00:00+0100,2024-08-21T12:00:00+0100,media,blank,,,,human,2025-02-26T09:03:11+0000
1065,r1-g01,3457589,c88701af-efff-4584-9321-24ba3dc55206,2024-08-22T12:00:00+0100,2024-08-22T12:00:00+0100,media,blank,,,,human,2025-02-26T09:03:52+0000
1066,r1-g01,3457590,63791bd1-7386-4e6d-8e69-00a97f05b46b,2024-08-23T12:00:00+0100,2024-08-23T12:00:00+0100,media,blank,,,,human,2025-02-26T09:04:32+0000
1067,r1-g01,3457591,6b516592-3b76-4e70-82f7-a253ff52bb64,2024-08-24T12:00:00+0100,2024-08-24T12:00:00+0100,media,blank,,,,human,2025-02-26T09:05:35+0000
1068,r1-g01,3457592,c8b31456-1a28-4ffa-b35c-ecec79278b7b,2024-08-25T12:00:00+0100,2024-08-25T12:00:00+0100,media,blank,,,,human,2025-02-26T09:08:30+0000
1069,r1-g01,3457593,df04b300-6554-4d1f-ac9a-49452f532fa8,2024-08-26T12:00:00+0100,2024-08-26T12:00:00+0100,media,blank,,,,human,2025-02-26T09:09:24+0000
1070,r1-g01,3457594,71a054f8-0ab9-47b3-a720-04f0e9b0ac62,2024-08-27T12:00:00+0100,2024-08-27T12:00:00+0100,media,blank,,,,human,2025-02-26T09:11:33+0000
1071,r1-g01,3457595,f86c6492-bcea-4a18-862b-904c31c3e0d4,2024-08-28T12:00:00+0100,2024-08-28T12:00:00+0100,media,blank,,,,human,2025-02-26T09:12:40+0000
1072,r1-g01,3457596,1f8c98bf-d930-4583-99a7-f4fedd1769e9,2024-08-29T12:00:00+0100,2024-08-29T12:00:00+0100,media,blank,,,,human,2025-02-26T09:14:12+0000
1073,r1-g01,3457597,7f7a5b8d-c069-49b6-915e-77829768e25a,2024-08-30T12:00:00+0100,2024-08-30T12:00:00+0100,media,blank,,,,human,2025-02-26T09:14:42+0000
1074,r1-g01,3457598,a84cf4a7-6dc2-4633-a13d-6f342de11a5f,2024-08-31T12:00:00+0100,2024-08-31T12:00:00+0100,media,blank,,,,human,2025-02-26T09:15:30+0000
1075,r1-g01,3457599,abfa0bb8-e0ff-4224-ae04-75117fcc4355,2024-09-01T12:00:00+0100,2024-09-01T12:00:00+0100,media,blank,,,,human,2025-02-26T09:16:14+0000
1076,r1-g01,3457600,fd8636de-436a-4685-9394-b37666e1e107,2024-09-02T12:00:00+0100,2024-09-02T12:00:00+0100,media,blank,,,,human,2025-02-26T09:17:00+0000
1077,r1-g01,3457601,3cea46b8-6f8a-438f-979b-9f50a8cae317,2024-09-03T12:00:00+0100,2024-09-03T12:00:00+0100,media,blank,,,,human,2025-02-26T09:18:17+0000
1078,r1-g01,3457602,4bb2d89d-a92a-4e3f-b882-51626d9eb8a4,2024-09-04T12:00:00+0100,2024-09-04T12:00:00+0100,media,blank,,,,human,2025-02-26T09:18:48+0000
1079,r1-g01,3457603,be121dfa-3e1c-4c2c-8238-7648c068a683,2024-09-04T16:03:02+0100,2024-09-04T16:03:07+0100,media,human,setup,Homo sapiens,1,human,2025-02-26T14:48:46+0000
