protocol,site,start_date,site_end,trap_nights
Ground-based lure,KB01PM,2023-07-18T14:02:38Z,2023-11-02T10:01:36Z,105.84849537037037
Ground-based lure,KB02PM,2023-07-18T14:40:16Z,2023-11-02T10:32:58Z,105.78
Ground-based lure,KB03PM,2023-07-18T07:56:52Z,2023-11-03T10:13:52Z,107.11219907407407
Ground-based lure,KB04PM,2023-07-19T09:14:52Z,2023-11-02T09:58:50Z,105.85956018518519
Ground-based lure,KB05PM,2023-07-18T15:25:28Z,2023-11-02T11:05:52Z,106.60726851851852
Ground-based lure,KB06PM,2023-07-18T10:50:32Z,2023-11-02T11:41:36Z,106.76819444444445
Ground-based lure,KB07PM,2023-07-18T12:04:10Z,2023-11-03T10:41:18Z,107.80166666666666
Ground-based lure,KB08PM,2023-07-20T09:08:30Z,2023-11-02T10:52:48Z,105.039375
Ground-based lure,KB09PM,2023-07-19T10:09:58Z,2023-11-02T12:19:08Z,105.77622685185185
Ground-based lure,KB10PM,2023-07-19T10:41:46Z,2023-11-02T12:58:40Z,105.07960648148148
Ground-based lure,KB11PM,2023-07-19T11:16:24Z,2023-11-03T12:12:58Z,106.7869212962963
Ground-based lure,KB12PM,2023-07-18T13:10:32Z,2023-11-02T14:21:12Z,106.84831018518518
Ground-based lure,KB13PM,2023-07-20T09:42:58Z,2023-11-02T11:31:08Z,105.03050925925926
Ground-based lure,KB14PM,2023-07-20T10:24:26Z,2023-11-02T13:06:30Z,73.0419212962963
Ground-based lure,KB15PM,2023-07-19T12:12:44Z,2023-11-02T13:24:14Z,106.02768518518519
Ground-based lure,KB16PM,2023-07-19T13:05:36Z,2023-11-03T11:46:48Z,106.884375
Ground-based lure,KB17PM,2023-07-18T12:45:18Z,2023-11-02T14:44:44Z,106.78171296296296
Ground-based lure,KB18PM,2023-07-20T11:05:36Z,2023-11-02T12:06:44Z,104.99027777777778
Ground-based lure,KB19PM,2023-07-20T12:06:36Z,2023-11-02T13:30:32Z,105.01449074074074
Ground-based lure,KB20PM,2023-07-19T13:47:58Z,2023-11-02T10:27:30Z,105.80685185185186
Ground-based lure,KB21PM,2023-07-20T13:55:06Z,2023-11-02T14:14:38Z,104.07506944444444
Ground-based lure,KB22PM,2023-07-20T13:19:22Z,2023-11-02T13:50:36Z,104.89664351851852
Ground-based lure,KB23PM,2023-07-19T14:19:16Z,2023-11-03T15:16:48Z,106.8637962962963
Ground-based lure,KB24PM,2023-07-20T14:27:40Z,2023-11-02T14:39:26Z,104.96046296296296
Ground-based lure,KB25PM,2023-07-20T12:42:36Z,2023-11-02T15:20:58Z,105.04328703703703
Ground-based lure,KB26PM,2023-07-19T14:49:56Z,2023-11-03T14:39:54Z,106.764375
Ground-based lure,KB27PM,2023-07-19T15:30:48Z,2023-11-03T13:55:48Z,106.68719907407407
Tree-mounted bait,KS02,2024-09-07T11:00:00Z,2024-12-01T00:00:00Z,84.55421296296296
Tree-mounted bait,KS03,2024-09-06T13:05:40Z,2024-12-01T00:00:00Z,84.54884259259259
Tree-mounted bait,KS04,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.48828703703704
Tree-mounted bait,KS07,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,86.41298611111111
Tree-mounted bait,KS08,2024-09-06T09:45:04Z,2024-12-01T00:00:00Z,84.55025462962963
Tree-mounted bait,KS10,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.56608796296297
Tree-mounted bait,KS11,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.48435185185184
Tree-mounted bait,KS12,2024-09-06T12:28:58Z,2024-12-01T00:00:00Z,84.43587962962962
Tree-mounted bait,KS14,2024-09-05T12:22:16Z,2024-12-01T00:00:00Z,86.43745370370371
Tree-mounted bait,KS15,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,86.44604166666667
Tree-mounted bait,KS18,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.49375
Tree-mounted bait,KS19,2024-08-12T09:23:50Z,2024-12-01T00:00:00Z,109.5812962962963
Tree-mounted bait,KS20,2024-08-12T10:03:52Z,2024-12-01T00:00:00Z,110.50699074074073
Tree-mounted bait,KS21,2024-08-12T11:38:42Z,2024-12-01T00:00:00Z,109.47199074074075
Tree-mounted bait,KS22,2024-08-12T09:07:32Z,2024-12-01T00:00:00Z,109.58247685185185
Tree-mounted bait,KS23,2024-08-12T09:45:18Z,2024-12-01T00:00:00Z,109.5450925925926
Tree-mounted bait,KS24,2024-08-12T11:54:32Z,2024-12-01T00:00:00Z,109.66585648148148
Tree-mounted bait,KS27,2024-07-18T13:08:50Z,2024-12-01T00:00:00Z,136.5100462962963
Tree-mounted bait,KS28,2024-10-03T12:16:04Z,2024-12-01T00:00:00Z,58.48206018518518
Tree-mounted bait,KS29,2024-10-03T11:00:00Z,2024-12-01T00:00:00Z,57.541666666666664
Tree-mounted bait,KS30,2024-10-03T09:19:42Z,2024-12-01T00:00:00Z,57.61131944444444
Tree-mounted bait,KS31,2024-10-03T09:58:42Z,2024-12-01T00:00:00Z,57.648032407407406
Tree-mounted bait,KS32,2024-10-03T10:37:33Z,2024-12-01T00:00:00Z,57.78730324074074
