protocol,site,independent_event_id,event_start,event_end,media_records
Ground-based lure,KB01PM,1,2023-08-20T14:08:00Z,2023-08-20T14:08:00Z,1
Ground-based lure,KB03PM,1,2023-08-26T02:37:42Z,2023-08-26T02:37:42Z,1
Ground-based lure,KB04PM,1,2023-09-04T23:00:58Z,2023-09-04T23:01:04Z,2
Ground-based lure,KB04PM,2,2023-10-02T18:29:26Z,2023-10-02T18:29:34Z,2
Ground-based lure,KB04PM,3,2023-10-08T02:15:12Z,2023-10-08T02:15:12Z,1
Ground-based lure,KB04PM,4,2023-10-12T18:12:04Z,2023-10-12T18:12:58Z,2
Ground-based lure,KB06PM,1,2023-07-20T16:36:18Z,2023-07-20T16:36:28Z,2
Ground-based lure,KB06PM,2,2023-08-20T06:34:40Z,2023-08-20T06:34:40Z,1
Ground-based lure,KB07PM,1,2023-10-23T17:11:34Z,2023-10-23T17:11:34Z,1
Ground-based lure,KB08PM,1,2023-09-12T21:20:42Z,2023-09-12T21:20:42Z,1
Ground-based lure,KB12PM,1,2023-07-27T23:18:34Z,2023-07-27T23:19:10Z,4
Ground-based lure,KB12PM,2,2023-07-31T02:01:58Z,2023-07-31T02:05:14Z,11
Ground-based lure,KB12PM,3,2023-08-01T01:53:00Z,2023-08-01T01:53:00Z,1
Ground-based lure,KB12PM,4,2023-08-05T20:17:58Z,2023-08-05T20:18:30Z,4
Ground-based lure,KB12PM,5,2023-08-07T03:18:44Z,2023-08-07T03:18:52Z,2
Ground-based lure,KB12PM,6,2023-08-07T21:36:38Z,2023-08-07T21:37:20Z,5
Ground-based lure,KB12PM,7,2023-08-16T19:36:04Z,2023-08-16T19:36:20Z,3
Ground-based lure,KB12PM,8,2023-08-20T21:41:20Z,2023-08-20T21:41:30Z,2
Ground-based lure,KB12PM,9,2023-08-23T19:35:22Z,2023-08-23T19:35:22Z,1
Ground-based lure,KB12PM,10,2023-08-26T02:33:40Z,2023-08-26T02:33:40Z,1
Ground-based lure,KB12PM,11,2023-09-12T21:09:44Z,2023-09-12T21:09:56Z,2
Ground-based lure,KB12PM,12,2023-10-01T02:17:10Z,2023-10-01T02:17:22Z,2
Ground-based lure,KB15PM,1,2023-08-23T19:58:10Z,2023-08-23T19:58:18Z,2
Ground-based lure,KB15PM,2,2023-10-08T17:23:20Z,2023-10-08T17:23:20Z,1
Ground-based lure,KB16PM,1,2023-08-01T22:38:58Z,2023-08-01T22:38:58Z,1
Ground-based lure,KB17PM,1,2023-07-23T08:00:12Z,2023-07-23T08:00:20Z,2
Ground-based lure,KB17PM,2,2023-08-06T23:18:14Z,2023-08-06T23:29:34Z,12
Ground-based lure,KB17PM,3,2023-08-07T05:31:42Z,2023-08-07T05:31:54Z,2
Ground-based lure,KB17PM,4,2023-08-19T22:02:40Z,2023-08-19T22:02:40Z,1
Ground-based lure,KB17PM,5,2023-10-02T17:38:32Z,2023-10-02T17:38:44Z,2
Ground-based lure,KB19PM,1,2023-10-26T04:02:16Z,2023-10-26T04:02:44Z,4
Ground-based lure,KB20PM,1,2023-08-12T04:08:56Z,2023-08-12T04:09:08Z,2
