protocol,day_bin,events,detected_sites,mean_events_per_detected_site,cumulative_events_per_detected_site
Ground-based lure,0,17,17,1,1
Ground-based lure,1,0,17,0,1
Ground-based lure,2,0,17,0,1
Ground-based lure,3,1,17,0.058823529411764705,1.0588235294117647
Ground-based lure,4,1,17,0.058823529411764705,1.1176470588235294
Ground-based lure,5,0,17,0,1.1176470588235294
Ground-based lure,6,0,17,0,1.1176470588235294
Ground-based lure,7,0,17,0,1.1176470588235294
Ground-based lure,8,1,17,0.058823529411764705,1.1764705882352942
Ground-based lure,9,0,17,0,1.1764705882352942
Ground-based lure,10,2,17,0.11764705882352941,1.2941176470588236
Ground-based lure,11,0,17,0,1.2941176470588236
Ground-based lure,12,0,17,0,1.2941176470588236
Ground-based lure,13,0,17,0,1.2941176470588236
Ground-based lure,14,2,17,0.11764705882352941,1.411764705882353
Ground-based lure,15,0,17,0,1.411764705882353
Ground-based lure,16,0,17,0,1.411764705882353
Ground-based lure,17,0,17,0,1.411764705882353
Ground-based lure,18,1,17,0.058823529411764705,1.4705882352941178
Ground-based lure,19,1,17,0.058823529411764705,1.5294117647058822
Ground-based lure,20,0,17,0,1.5294117647058822
Ground-based lure,21,0,17,0,1.5294117647058822
Ground-based lure,22,0,17,0,1.5294117647058822
Ground-based lure,23,1,17,0.058823529411764705,1.588235294117647
Ground-based lure,24,1,17,0.058823529411764705,1.6470588235294117
Ground-based lure,25,1,17,0.058823529411764705,1.7058823529411764
Ground-based lure,26,1,17,0.058823529411764705,1.7647058823529411
Ground-based lure,27,2,17,0.11764705882352941,1.8823529411764706
Ground-based lure,28,0,17,0,1.8823529411764706
Ground-based lure,29,1,17,0.058823529411764705,1.9411764705882353
Ground-based lure,30,1,17,0.058823529411764705,2
Ground-based lure,31,0,17,0,2
Ground-based lure,32,0,17,0,2
Ground-based lure,33,1,17,0.058823529411764705,2.0588235294117645
Ground-based lure,34,0,17,0,2.0588235294117645
Ground-based lure,35,0,17,0,2.0588235294117645
Ground-based lure,36,0,17,0,2.0588235294117645
Ground-based lure,37,1,17,0.058823529411764705,2.1176470588235294
Ground-based lure,38,0,17,0,2.1176470588235294
Ground-based lure,39,0,17,0,2.1176470588235294
Ground-based lure,40,0,17,0,2.1176470588235294
Ground-based lure,41,0,17,0,2.1176470588235294
Ground-based lure,42,0,17,0,2.1176470588235294
Ground-based lure,43,0,17,0,2.1176470588235294
Ground-based lure,44,0,17,0,2.1176470588235294
Ground-based lure,45,1,17,0.058823529411764705,2.176470588235294
Ground-based lure,46,1,17,0.058823529411764705,2.235294117647059
Ground-based lure,47,0,17,0,2.235294117647059
Ground-based lure,48,0,17,0,2.235294117647059
Ground-based lure,49,0,17,0,2.235294117647059
Ground-based lure,50,0,17,0,2.235294117647059
Ground-based lure,51,0,17,0,2.235294117647059
Ground-based lure,52,0,17,0,2.235294117647059
Ground-based lure,53,0,17,0,2.235294117647059
Ground-based lure,54,0,17,0,2.235294117647059
Ground-based lure,55,0,17,0,2.235294117647059
Ground-based lure,56,0,17,0,2.235294117647059
Ground-based lure,57,0,17,0,2.235294117647059
Ground-based lure,58,0,17,0,2.235294117647059
Ground-based lure,59,0,17,0,2.235294117647059
Ground-based lure,60,0,17,0,2.235294117647059
Tree-mounted bait,0,37,17,2.176470588235294,2.176470588235294
Tree-mounted bait,1,8,17,0.47058823529411764,2.6470588235294117
Tree-mounted bait,2,5,17,0.29411764705882354,2.9411764705882355
Tree-mounted bait,3,8,17,0.47058823529411764,3.411764705882353
Tree-mounted bait,4,2,17,0.11764705882352941,3.5294117647058822
Tree-mounted bait,5,7,17,0.4117647058823529,3.9411764705882355
Tree-mounted bait,6,18,17,1.0588235294117647,5
Tree-mounted bait,7,10,17,0.5882352941176471,5.588235294117647
Tree-mounted bait,8,4,17,0.23529411764705882,5.823529411764706
Tree-mounted bait,9,5,17,0.29411764705882354,6.117647058823529
Tree-mounted bait,10,1,17,0.058823529411764705,6.176470588235294
Tree-mounted bait,11,3,17,0.17647058823529413,6.352941176470588
Tree-mounted bait,12,6,17,0.35294117647058826,6.705882352941177
Tree-mounted bait,13,2,17,0.11764705882352941,6.823529411764706
Tree-mounted bait,14,1,17,0.058823529411764705,6.882352941176471
Tree-mounted bait,15,4,17,0.23529411764705882,7.117647058823529
Tree-mounted bait,16,2,17,0.11764705882352941,7.235294117647059
Tree-mounted bait,17,2,17,0.11764705882352941,7.352941176470588
Tree-mounted bait,18,4,17,0.23529411764705882,7.588235294117647
Tree-mounted bait,19,2,17,0.11764705882352941,7.705882352941177
Tree-mounted bait,20,1,17,0.058823529411764705,7.764705882352941
Tree-mounted bait,21,2,17,0.11764705882352941,7.882352941176471
Tree-mounted bait,22,2,17,0.11764705882352941,8
Tree-mounted bait,23,7,17,0.4117647058823529,8.411764705882353
Tree-mounted bait,24,3,17,0.17647058823529413,8.588235294117647
Tree-mounted bait,25,3,17,0.17647058823529413,8.764705882352942
Tree-mounted bait,26,0,17,0,8.764705882352942
Tree-mounted bait,27,0,17,0,8.764705882352942
Tree-mounted bait,28,1,17,0.058823529411764705,8.823529411764707
Tree-mounted bait,29,0,17,0,8.823529411764707
Tree-mounted bait,30,1,17,0.058823529411764705,8.882352941176471
Tree-mounted bait,31,0,17,0,8.882352941176471
Tree-mounted bait,32,1,17,0.058823529411764705,8.941176470588236
Tree-mounted bait,33,0,17,0,8.941176470588236
Tree-mounted bait,34,0,17,0,8.941176470588236
Tree-mounted bait,35,0,17,0,8.941176470588236
Tree-mounted bait,36,4,17,0.23529411764705882,9.176470588235293
Tree-mounted bait,37,5,17,0.29411764705882354,9.470588235294118
Tree-mounted bait,38,5,17,0.29411764705882354,9.764705882352942
Tree-mounted bait,39,1,17,0.058823529411764705,9.823529411764707
Tree-mounted bait,40,1,17,0.058823529411764705,9.882352941176471
Tree-mounted bait,41,5,17,0.29411764705882354,10.176470588235293
Tree-mounted bait,42,3,17,0.17647058823529413,10.352941176470589
Tree-mounted bait,43,0,17,0,10.352941176470589
Tree-mounted bait,44,0,17,0,10.352941176470589
Tree-mounted bait,45,3,17,0.17647058823529413,10.529411764705882
Tree-mounted bait,46,1,17,0.058823529411764705,10.588235294117647
Tree-mounted bait,47,1,17,0.058823529411764705,10.647058823529411
Tree-mounted bait,48,0,17,0,10.647058823529411
Tree-mounted bait,49,0,17,0,10.647058823529411
Tree-mounted bait,50,0,17,0,10.647058823529411
Tree-mounted bait,51,1,17,0.058823529411764705,10.705882352941176
Tree-mounted bait,52,0,17,0,10.705882352941176
Tree-mounted bait,53,0,17,0,10.705882352941176
Tree-mounted bait,54,0,17,0,10.705882352941176
Tree-mounted bait,55,1,17,0.058823529411764705,10.764705882352942
Tree-mounted bait,56,1,17,0.058823529411764705,10.823529411764707
Tree-mounted bait,57,2,17,0.11764705882352941,10.941176470588236
Tree-mounted bait,58,0,17,0,10.941176470588236
