protocol,site,first_event,second_event,n_events,site_end,revisit_status,time_to_revisit_days
Ground-based lure,KB01PM,2023-08-20T14:08:00Z,NA,1,2023-11-02T10:01:36Z,0,73.82888888888888
Ground-based lure,KB03PM,2023-08-26T02:37:42Z,NA,1,2023-11-03T10:13:52Z,0,69.3167824074074
Ground-based lure,KB04PM,2023-09-04T23:00:58Z,2023-10-02T18:29:26Z,4,2023-11-02T09:58:50Z,1,27.811435185185186
Ground-based lure,KB06PM,2023-07-20T16:36:18Z,2023-08-20T06:34:40Z,2,2023-11-02T11:41:36Z,1,30.582199074074072
Ground-based lure,KB07PM,2023-10-23T17:11:34Z,NA,1,2023-11-03T10:41:18Z,0,10.728981481481481
Ground-based lure,KB08PM,2023-09-12T21:20:42Z,NA,1,2023-11-02T10:52:48Z,0,50.56395833333333
Ground-based lure,KB12PM,2023-07-27T23:18:34Z,2023-07-31T02:01:58Z,12,2023-11-02T14:21:12Z,1,3.113472222222222
Ground-based lure,KB15PM,2023-08-23T19:58:10Z,2023-10-08T17:23:20Z,2,2023-11-02T13:24:14Z,1,45.89247685185185
Ground-based lure,KB16PM,2023-08-01T22:38:58Z,NA,1,2023-11-03T11:46:48Z,0,93.54710648148148
Ground-based lure,KB17PM,2023-07-23T08:00:12Z,2023-08-06T23:18:14Z,5,2023-11-02T14:44:44Z,1,14.637523148148148
Ground-based lure,KB19PM,2023-10-26T04:02:16Z,NA,1,2023-11-02T13:30:32Z,0,7.394629629629629
Ground-based lure,KB20PM,2023-08-12T04:08:56Z,NA,1,2023-11-02T10:27:30Z,0,82.26289351851852
Ground-based lure,KB21PM,2023-10-03T17:08:16Z,NA,1,2023-11-02T14:14:38Z,0,29.879421296296297
Ground-based lure,KB24PM,2023-08-01T07:20:50Z,2023-08-25T18:04:32Z,3,2023-11-02T14:39:26Z,1,24.44701388888889
Ground-based lure,KB25PM,2023-08-18T06:14:56Z,NA,1,2023-11-02T15:20:58Z,0,76.37918981481481
Ground-based lure,KB26PM,2023-09-20T21:33:30Z,NA,1,2023-11-03T14:39:54Z,0,43.71277777777778
Ground-based lure,KB27PM,2023-08-01T22:37:30Z,2023-08-20T01:32:32Z,2,2023-11-03T13:55:48Z,1,18.121550925925927
Tree-mounted bait,KS02,2024-11-29T23:48:54Z,2024-11-30T04:29:20Z,4,2024-12-01T00:00:00Z,1,0.19474537037037037
Tree-mounted bait,KS03,2024-10-08T17:14:14Z,NA,1,2024-12-01T00:00:00Z,0,53.281782407407405
Tree-mounted bait,KS10,2024-11-19T20:59:12Z,2024-11-20T02:40:58Z,5,2024-12-01T00:00:00Z,1,0.23733796296296297
Tree-mounted bait,KS12,2024-10-01T22:13:02Z,2024-11-18T20:11:28Z,2,2024-12-01T00:00:00Z,1,47.9155787037037
Tree-mounted bait,KS14,2024-10-15T19:53:02Z,2024-10-16T02:31:16Z,15,2024-12-01T00:00:00Z,1,0.27655092592592595
Tree-mounted bait,KS18,2024-10-06T13:07:34Z,2024-10-08T05:11:18Z,15,2024-12-01T00:00:00Z,1,1.6692592592592592
Tree-mounted bait,KS19,2024-10-13T07:22:16Z,2024-10-15T08:22:40Z,20,2024-12-01T00:00:00Z,1,2.0419444444444443
Tree-mounted bait,KS20,2024-10-26T19:46:48Z,2024-11-01T03:40:40Z,19,2024-12-01T00:00:00Z,1,5.329074074074074
Tree-mounted bait,KS21,2024-09-01T10:18:12Z,2024-09-01T20:53:14Z,31,2024-12-01T00:00:00Z,1,0.44099537037037034
Tree-mounted bait,KS22,2024-10-06T04:33:46Z,2024-10-06T18:24:42Z,16,2024-12-01T00:00:00Z,1,0.577037037037037
Tree-mounted bait,KS23,2024-10-02T05:57:38Z,2024-10-08T04:14:30Z,15,2024-12-01T00:00:00Z,1,5.92837962962963
Tree-mounted bait,KS24,2024-10-05T23:15:14Z,2024-10-07T06:58:54Z,13,2024-12-01T00:00:00Z,1,1.3219907407407407
Tree-mounted bait,KS27,2024-10-13T04:41:44Z,2024-10-13T21:13:04Z,12,2024-12-01T00:00:00Z,1,0.6884259259259259
Tree-mounted bait,KS28,2024-10-08T20:39:52Z,2024-10-12T05:36:52Z,6,2024-12-01T00:00:00Z,1,3.372916666666667
Tree-mounted bait,KS29,2024-11-22T08:04:36Z,2024-11-25T19:28:04Z,2,2024-12-01T00:00:00Z,1,3.4746296296296295
Tree-mounted bait,KS30,2024-11-23T23:07:02Z,2024-11-24T00:55:42Z,3,2024-12-01T00:00:00Z,1,0.07546296296296297
Tree-mounted bait,KS32,2024-11-20T03:30:44Z,NA,1,2024-12-01T00:00:00Z,0,10.853657407407407
