protocol,site,start_date,site_end,trap_nights,first_detection,detection_status,detection_followup
Ground-based lure,KB01PM,2023-07-18T14:02:38Z,2023-11-02T10:01:36Z,105.84849537037037,2023-08-20T14:08:00Z,1,33.00372685185185
Ground-based lure,KB02PM,2023-07-18T14:40:16Z,2023-11-02T10:32:58Z,105.78,NA,0,106.82826388888888
Ground-based lure,KB03PM,2023-07-18T07:56:52Z,2023-11-03T10:13:52Z,107.11219907407407,2023-08-26T02:37:42Z,1,38.77835648148148
Ground-based lure,KB04PM,2023-07-19T09:14:52Z,2023-11-02T09:58:50Z,105.85956018518519,2023-09-04T23:00:58Z,1,47.573680555555555
Ground-based lure,KB05PM,2023-07-18T15:25:28Z,2023-11-02T11:05:52Z,106.60726851851852,NA,0,106.81972222222223
Ground-based lure,KB06PM,2023-07-18T10:50:32Z,2023-11-02T11:41:36Z,106.76819444444445,2023-07-20T16:36:18Z,1,2.2401157407407406
Ground-based lure,KB07PM,2023-07-18T12:04:10Z,2023-11-03T10:41:18Z,107.80166666666666,2023-10-23T17:11:34Z,1,97.21347222222222
Ground-based lure,KB08PM,2023-07-20T09:08:30Z,2023-11-02T10:52:48Z,105.039375,2023-09-12T21:20:42Z,1,54.508472222222224
Ground-based lure,KB09PM,2023-07-19T10:09:58Z,2023-11-02T12:19:08Z,105.77622685185185,NA,0,106.08969907407408
Ground-based lure,KB10PM,2023-07-19T10:41:46Z,2023-11-02T12:58:40Z,105.07960648148148,NA,0,106.09506944444445
Ground-based lure,KB11PM,2023-07-19T11:16:24Z,2023-11-03T12:12:58Z,106.7869212962963,NA,0,107.03928240740741
Ground-based lure,KB12PM,2023-07-18T13:10:32Z,2023-11-02T14:21:12Z,106.84831018518518,2023-07-27T23:18:34Z,1,9.422245370370371
Ground-based lure,KB13PM,2023-07-20T09:42:58Z,2023-11-02T11:31:08Z,105.03050925925926,NA,0,105.07511574074074
Ground-based lure,KB14PM,2023-07-20T10:24:26Z,2023-11-02T13:06:30Z,73.0419212962963,NA,0,105.1125462962963
Ground-based lure,KB15PM,2023-07-19T12:12:44Z,2023-11-02T13:24:14Z,106.02768518518519,2023-08-23T19:58:10Z,1,35.32321759259259
Ground-based lure,KB16PM,2023-07-19T13:05:36Z,2023-11-03T11:46:48Z,106.884375,2023-08-01T22:38:58Z,1,13.398171296296296
Ground-based lure,KB17PM,2023-07-18T12:45:18Z,2023-11-02T14:44:44Z,106.78171296296296,2023-07-23T08:00:12Z,1,4.802013888888889
Ground-based lure,KB18PM,2023-07-20T11:05:36Z,2023-11-02T12:06:44Z,104.99027777777778,NA,0,105.0424537037037
Ground-based lure,KB19PM,2023-07-20T12:06:36Z,2023-11-02T13:30:32Z,105.01449074074074,2023-10-26T04:02:16Z,1,97.66365740740741
Ground-based lure,KB20PM,2023-07-19T13:47:58Z,2023-11-02T10:27:30Z,105.80685185185186,2023-08-12T04:08:56Z,1,23.597893518518518
Ground-based lure,KB21PM,2023-07-20T13:55:06Z,2023-11-02T14:14:38Z,104.07506944444444,2023-10-03T17:08:16Z,1,75.13414351851851
Ground-based lure,KB22PM,2023-07-20T13:19:22Z,2023-11-02T13:50:36Z,104.89664351851852,NA,0,105.02168981481482
Ground-based lure,KB23PM,2023-07-19T14:19:16Z,2023-11-03T15:16:48Z,106.8637962962963,NA,0,107.0399537037037
Ground-based lure,KB24PM,2023-07-20T14:27:40Z,2023-11-02T14:39:26Z,104.96046296296296,2023-08-01T07:20:50Z,1,11.703587962962963
Ground-based lure,KB25PM,2023-07-20T12:42:36Z,2023-11-02T15:20:58Z,105.04328703703703,2023-08-18T06:14:56Z,1,28.730787037037036
Ground-based lure,KB26PM,2023-07-19T14:49:56Z,2023-11-03T14:39:54Z,106.764375,2023-09-20T21:33:30Z,1,63.28025462962963
Ground-based lure,KB27PM,2023-07-19T15:30:48Z,2023-11-03T13:55:48Z,106.68719907407407,2023-08-01T22:37:30Z,1,13.296319444444444
Tree-mounted bait,KS02,2024-09-07T11:00:00Z,2024-12-01T00:00:00Z,84.55421296296296,2024-11-29T23:48:54Z,1,83.53395833333333
Tree-mounted bait,KS03,2024-09-06T13:05:40Z,2024-12-01T00:00:00Z,84.54884259259259,2024-10-08T17:14:14Z,1,32.17261574074074
Tree-mounted bait,KS04,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.48828703703704,NA,0,85.54166666666667
Tree-mounted bait,KS07,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,86.41298611111111,NA,0,85.54166666666667
Tree-mounted bait,KS08,2024-09-06T09:45:04Z,2024-12-01T00:00:00Z,84.55025462962963,NA,0,85.59370370370371
Tree-mounted bait,KS10,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.56608796296297,2024-11-19T20:59:12Z,1,74.4161111111111
Tree-mounted bait,KS11,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.48435185185184,NA,0,85.54166666666667
Tree-mounted bait,KS12,2024-09-06T12:28:58Z,2024-12-01T00:00:00Z,84.43587962962962,2024-10-01T22:13:02Z,1,25.405601851851852
Tree-mounted bait,KS14,2024-09-05T12:22:16Z,2024-12-01T00:00:00Z,86.43745370370371,2024-10-15T19:53:02Z,1,40.313032407407405
Tree-mounted bait,KS15,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,86.44604166666667,NA,0,85.54166666666667
Tree-mounted bait,KS18,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.49375,2024-10-06T13:07:34Z,1,30.08858796296296
Tree-mounted bait,KS19,2024-08-12T09:23:50Z,2024-12-01T00:00:00Z,109.5812962962963,2024-10-13T07:22:16Z,1,61.9155787037037
Tree-mounted bait,KS20,2024-08-12T10:03:52Z,2024-12-01T00:00:00Z,110.50699074074073,2024-10-26T19:46:48Z,1,75.40481481481481
Tree-mounted bait,KS21,2024-08-12T11:38:42Z,2024-12-01T00:00:00Z,109.47199074074075,2024-09-01T10:18:12Z,1,19.944097222222222
Tree-mounted bait,KS22,2024-08-12T09:07:32Z,2024-12-01T00:00:00Z,109.58247685185185,2024-10-06T04:33:46Z,1,54.809884259259256
Tree-mounted bait,KS23,2024-08-12T09:45:18Z,2024-12-01T00:00:00Z,109.5450925925926,2024-10-02T05:57:38Z,1,50.84189814814815
Tree-mounted bait,KS24,2024-08-12T11:54:32Z,2024-12-01T00:00:00Z,109.66585648148148,2024-10-05T23:15:14Z,1,54.47270833333334
Tree-mounted bait,KS27,2024-07-18T13:08:50Z,2024-12-01T00:00:00Z,136.5100462962963,2024-10-13T04:41:44Z,1,86.64784722222223
Tree-mounted bait,KS28,2024-10-03T12:16:04Z,2024-12-01T00:00:00Z,58.48206018518518,2024-10-08T20:39:52Z,1,5.349861111111111
Tree-mounted bait,KS29,2024-10-03T11:00:00Z,2024-12-01T00:00:00Z,57.541666666666664,2024-11-22T08:04:36Z,1,49.878194444444446
Tree-mounted bait,KS30,2024-10-03T09:19:42Z,2024-12-01T00:00:00Z,57.61131944444444,2024-11-23T23:07:02Z,1,51.57453703703704
Tree-mounted bait,KS31,2024-10-03T09:58:42Z,2024-12-01T00:00:00Z,57.648032407407406,NA,0,58.58423611111111
Tree-mounted bait,KS32,2024-10-03T10:37:33Z,2024-12-01T00:00:00Z,57.78730324074074,2024-11-20T03:30:44Z,1,47.703599537037036
